Cluster_ID,No_of_People,Latitude,Longitude,Distance_from_Inventory_km
C001,95,18.503570787298496,73.87233881977275,64.34
C002,83,18.530696769785063,73.85681674326517,52.65
C003,95,18.503156238330615,73.86825438461126,91.73
C004,99,18.533010205126015,73.8542134067045,91.21
C005,94,18.53544688563321,73.85031277984585,68.27
C006,50,18.520810950873138,73.84291612259776,80.59
C007,71,18.508152647346897,73.8485116706859,84.57
C008,99,18.528669759503078,73.85233416326949,71.8
C009,68,18.517779793199235,73.83875423973824,30.59
C010,5,18.530221127471197,73.86916025872327,27.07
C011,29,18.528113826483583,73.85576276925342,31.28
C012,93,18.530687303148312,73.8750175205678,82.36
C013,24,18.538413682060792,73.86789406160784,84.47
C014,93,18.525846529136725,73.83931935124869,80.08
C015,41,18.518829560257263,73.85524552451965,63.13
C016,62,18.511989384605076,73.85204353089303,40.22
C017,33,18.51813177859772,73.85929222480938,61.81
C018,45,18.516534179209515,73.86112556846402,74.58
C019,98,18.505842284836685,73.86823726367739,90.52
C020,86,18.53141514138181,73.8730956035891,16.45
C021,61,18.52749954413041,73.86134122930409,34.09
C022,50,18.517835106630944,73.85862577161228,45.89
C023,45,18.50607442359379,73.87014498613252,79.54
C024,54,18.533363035615633,73.86549003793216,63.67
C025,30,18.532547280207382,73.87645528042178,53.63
C026,51,18.5220834164118,73.84330925088784,44.89
C027,18,18.526275107511918,73.84523270803409,49.57
C028,34,18.535541987899382,73.86867261063693,63.73
C029,28,18.532850148652,73.8684338775528,51.89
C030,17,18.501097892310245,73.83734669445178,30.08
C031,90,18.501690591463078,73.85082108718206,63.72
C032,87,18.53005684389589,73.85037510023882,80.56
C033,17,18.50975241320849,73.85878999766703,19.53
C034,62,18.50277448779203,73.84139733923243,37.07
C035,8,18.517653490977423,73.86860177942616,70.67
C036,31,18.523343260285316,73.85109673828575,51.31
C037,69,18.540093045233753,73.83674622120263,55.85
C038,31,18.506577373832844,73.86466558206753,38.13
C039,48,18.51255108574675,73.8678469683345,95.2
C040,38,18.52695686381503,73.87086009727062,6.78
C041,18,18.51541141585343,73.84428630533559,51.08
C042,8,18.51563163162058,73.84467876271867,59.77
C043,28,18.5391254920182,73.87391993744161,14.68
C044,23,18.533921370669947,73.87491824783456,98.72
C045,83,18.539075117995072,73.86900439662655,87.95
C046,8,18.50695450715324,73.85569540971002,42.95
C047,26,18.533151913697434,73.85505353298102,3.45
C048,90,18.522087491913556,73.84368697593766,89.9
C049,95,18.535825071653736,73.83844519584103,86.5
C050,27,18.514251734517853,73.86168333599238,49.34
C051,79,18.538628269805383,73.87667561269532,63.62
C052,60,18.50461889877869,73.86824423674867,58.72
C053,31,18.507409122847097,73.86336907690936,63.53
C054,18,18.512996298120107,73.87062573561484,49.1
C055,33,18.528959955388064,73.87603929808161,48.7
C056,85,18.513535560180898,73.87332632191102,35.19
C057,38,18.513156626559088,73.84060344020008,44.94
C058,95,18.515595014538913,73.85048612494033,24.59
C059,60,18.5018322206989,73.8535828746926,19.89
C060,49,18.537534365709433,73.8623238705988,38.98
C061,25,18.53548920373625,73.84833568622987,74.5
C062,67,18.505568071215983,73.86556132588609,80.29
C063,46,18.511854257616495,73.86411342428296,40.88
C064,86,18.5239713856837,73.87162282759043,36.86
C065,94,18.522703843334213,73.85549064975243,9.82
C066,12,18.522405777243364,73.86769339948425,46.91
C067,25,18.518700353531834,73.84994071747367,40.13
C068,67,18.535473497323803,73.87071234718418,27.73
C069,19,18.53976464893076,73.839492662512,33.9
C070,41,18.538951426933068,73.86233986304404,85.44
C071,46,18.5181060634955,73.84341700548296,82.15
C072,48,18.512444874137152,73.86162098101903,67.85
C073,74,18.52851384751716,73.84996436255604,59.62
C074,95,18.531944323366695,73.87668467674524,29.71
C075,70,18.53870313692041,73.86337276622729,63.21
C076,67,18.528422378073504,73.86549523243684,72.96
C077,31,18.523524666828585,73.8596879494237,82.08
C078,41,18.503382056380886,73.84411021717186,89.86
C079,79,18.518360968613603,73.8378393251526,10.76
C080,16,18.531262527139848,73.84329061374541,48.1
C081,93,18.50821833697127,73.85146371555012,21.63
C082,42,18.505881178020314,73.87401752150325,94.11
C083,45,18.52287375682008,73.86005396805479,29.71
C084,86,18.524695603139858,73.87279824109271,69.71
C085,43,18.529379516041608,73.86310944415911,87.04
C086,90,18.503764442178152,73.83695450737773,94.44
C087,7,18.514154126444392,73.85221689162294,15.21
C088,47,18.537959216591464,73.84640599182441,2.61
C089,5,18.516205198490137,73.85774668183635,26.5
C090,81,18.54030490295364,73.8561576610154,54.4
C091,67,18.53120136613004,73.849314374602,38.88
C092,77,18.510960813590806,73.86919230068264,29.17
C093,96,18.51195994040655,73.84914696520205,44.67
C094,52,18.520782116190666,73.83859984278321,48.18
C095,56,18.50509337327408,73.8460405885758,32.27
C096,67,18.50176255543944,73.83958026755062,93.66
C097,91,18.531283540340805,73.85126814826091,100.75
C098,42,18.510602407417164,73.839994487994,55.5
C099,22,18.509441877208737,73.85116829198346,56.15
C100,56,18.50738417745953,73.85520437699148,31.8
